Rt,Et,Ret,Qt
0,0.03224,0,0.3935
0,0.02426,0,0.398
0,0.05833,0,0.3958
0,0.09086,0,0.3958
0,0.11937,0,0.3942
0,0.14741,0,0.392
0,0.16248,0,0.3902
0,0.13763,0,0.392
0,0.15859,0,0.392
0,0.12378,0,0.3928
0,0.11035,0,0.398
0,0.06068,0,0.398
0.029,0.05798,0,0.398
0.046,0.012,0.034,0.398
0.028,0.00044,0.02756,0.398
0.007,0,0.007,0.398
0.013,0,0.013,0.3965
0.033,0,0.033,0.398
0.007,0,0.007,0.398
0,0,0,0.3965
0,0,0,0.398
0.004,0,0.004,0.398
0,0.00024,0,0.398
0,0,0,0.398
0,0,0,0.4041
0,0.00377,0,0.405
0.004,0.01363,0,0.4065
0,0.02369,0,0.4058
0,0.03509,0,0.408
0,0.06662,0,0.4058
0.007,0.04094,0,0.405
0,0.06905,0,0.405
0,0.07118,0,0.4065
0,0.06535,0,0.4065
0,0.09797,0,0.4058
0,0.13781,0,0.4087
0,0.08764,0,0.405
0,0.03801,0,0.4058
0,0.02847,0,0.408
0,0.00811,0,0.4065
0,0,0,0.4058
0,0,0,0.405
0,0,0,0.405
0,0,0,0.405
0,0,0,0.405
0,0,0,0.405
0,0,0,0.405
0,0,0,0.405
0,0.00071,0,0.405
0,0.00784,0,0.405
0,0.01394,0,0.405
0,0.02854,0,0.405
0,0.06693,0,0.405
0,0.08069,0,0.4024
0,0.08536,0,0.398
0,0.08607,0,0.3958
0,0.11413,0,0.3943
0,0.12674,0,0.3928
0,0.08895,0,0.392
0,0.07885,0,0.392
0,0.05337,0,0.392
0,0.04052,0,0.3928
0,0.02716,0,0.398
0,0.01429,0,0.3942
0,0.00072,0,0.3935
0,0.00011,0,0.392
0,0,0,0.392
0.007,0,0.007,0.392
0,0,0,0.392
0,0.00141,0,0.392
0,0.00053,0,0.392
0,0,0,0.392
0,0.00267,0,0.392
0,0.01086,0,0.392
0,0.02704,0,0.392
0,0.02736,0,0.392
0,0.04783,0,0.392
0,0.06184,0,0.392
0,0.05771,0,0.3894
0,0.06717,0,0.3885
0,0.05692,0,0.3894
0,0.08842,0,0.392
0,0.14912,0,0.392
0,0.13454,0,0.3958
0,0.11152,0,0.398
0,0.08048,0,0.3972
0,0.05899,0,0.392
0,0.02057,0,0.3894
0,0,0,0.385
0,0,0,0.3892
0,0,0,0.4408
0,0,0,0.465
0,0,0,0.4285
0,0,0,0.3878
0,0,0,0.3651
0,0,0,0.36
0,0.00196,0,0.36
